descricaoProduto,ean,principioAtivo,classificacao,nomeSocial,fabricante,detalhes
Acnova 20mg 30 Cápsulas Moles,7896004734064,Isotretinoína,Antiacneicos Sistêmicos,Acnova,Germed Farmaceutica Ltda,"{""ean"":""7896004734064"",""dose"":""20mg 30 Cápsulas Moles"",""unidade"":""mg"",""forma_farmaceutica"":""CÁPSULAS MOLES"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1058308440096"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Isotretinoína""],""legado"":{""produto_id"":880,""apresentacao_id"":1097,""nome_normalizado"":""acnova"",""tipo"":""medicamento""}}"
Allovita 50mg/ml Solução 50 ml + Extensor,7896004758596,Minoxidil,Outras Preparações Dermatologicas,Allovita,Legrand Pharma Indústria Farmacêutica Ltda,"{""ean"":""7896004758596"",""dose"":""50mg/ml Solução 50 ml + Extensor"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Capilar"",""quantidade"":null,""volume"":null,""registro_ms"":""1677306290024"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Minoxidil""],""legado"":{""produto_id"":1089,""apresentacao_id"":1379,""nome_normalizado"":""allovita"",""tipo"":""medicamento""}}"
Amoxicilina + Clavulanato de Potássio 875mg + 125mg 20 Comprimidos Revestidos,7896004759609,"Amoxicilina, Amoxicilina Tri-hidratada, Amoxicilina Trihidratada, Clavulanato de Potássio",Penicilinas Orais de Amplo Espectro,Amoxicilina + Clavulanato de Potássio,União Química Farmacêutica Nacional S/A,"{""ean"":""7896004759609"",""dose"":""875mg + 125mg 20 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1023508450181"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Amoxicilina"",""Amoxicilina Tri-hidratada"",""Amoxicilina Trihidratada"",""Clavulanato de Potássio""],""legado"":{""produto_id"":1148,""apresentacao_id"":1496,""nome_normalizado"":""amoxicilina clavulanato de potassio"",""tipo"":""medicamento""}}"
Allexofedrin 180mg 10 Comprimidos Revestidos,7896004768571,"Cloridrato de Fexofenadina, Cloridrato de Pseudoefedrina",Preparações Sistêmicas Nasais,Allexofedrin,EMS S/A,"{""ean"":""7896004768571"",""dose"":""180mg 10 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""10"",""volume"":null,""registro_ms"":""1023506370067"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Fexofenadina"",""Cloridrato de Pseudoefedrina""],""legado"":{""produto_id"":1087,""apresentacao_id"":1375,""nome_normalizado"":""allexofedrin"",""tipo"":""medicamento""}}"
Allexofedrin 120mg 10 Comprimidos Revestidos,7896004768588,"Cloridrato de Fexofenadina, Cloridrato de Pseudoefedrina",Preparações Sistêmicas Nasais,Allexofedrin,EMS S/A,"{""ean"":""7896004768588"",""dose"":""120mg 10 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""10"",""volume"":null,""registro_ms"":""1023506370059"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Fexofenadina"",""Cloridrato de Pseudoefedrina""],""legado"":{""produto_id"":1087,""apresentacao_id"":1374,""nome_normalizado"":""allexofedrin"",""tipo"":""medicamento""}}"
Allexofedrin Pediátrico 6mg/ml Suspensão 60 ml + Seringa Dosadora,7896004770895,Cloridrato de Fexofenadina,Anti-histamínicos Sistêmicos,Allexofedrin Pediátrico,EMS S/A,"{""ean"":""7896004770895"",""dose"":""6mg/ml Suspensão 60 ml + Seringa Dosadora"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1023513270013"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Fexofenadina""],""legado"":{""produto_id"":1088,""apresentacao_id"":1378,""nome_normalizado"":""allexofedrin pediatrico"",""tipo"":""medicamento""}}"
Allexofedrin Pediátrico 6mg/ml Suspensão 150 ml + Seringa Dosadora,7896004770901,Cloridrato de Fexofenadina,Anti-histamínicos Sistêmicos,Allexofedrin Pediátrico,EMS S/A,"{""ean"":""7896004770901"",""dose"":""6mg/ml Suspensão 150 ml + Seringa Dosadora"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1023513270021"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Fexofenadina""],""legado"":{""produto_id"":1088,""apresentacao_id"":1377,""nome_normalizado"":""allexofedrin pediatrico"",""tipo"":""medicamento""}}"
Aciclovir 50mg/g Creme 10 G,7896004771199,Aciclovir,Antivirais Oftalmológicos,Aciclovir,Pharlab Indústria Farmacêutica S.a.,"{""ean"":""7896004771199"",""dose"":""50mg/g Creme 10 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1023513220024"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Aciclovir""],""legado"":{""produto_id"":703,""apresentacao_id"":1066,""nome_normalizado"":""aciclovir"",""tipo"":""medicamento""}}"
Complexo B 5.45mg + 2MG + 2MG + 20mg + 3MG 100 Comprimidos Revestidos,7896004772301,"Cloridrato de Piridoxina, Nicotinamida, Nitrato de Tiamina, Pantotenato de Calcio, Riboflavina",Complexo B Puro,Complexo B,EMS S/A,"{""ean"":""7896004772301"",""dose"":""5.45mg + 2MG + 2MG + 20mg + 3MG 100 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""100"",""volume"":null,""registro_ms"":""1023513400014"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Piridoxina"",""Nicotinamida"",""Nitrato de Tiamina"",""Pantotenato de Calcio"",""Riboflavina""],""legado"":{""produto_id"":630,""apresentacao_id"":789,""nome_normalizado"":""complexo b"",""tipo"":""medicamento""}}"
"Complexo B 12 XPE 3mg/ml + 1mg/ml + 1mg/ml + 2,5mg/ml + 1,5mcg Xarope",7896004772318,"Cianocobalamina, Cloridrato de Piridoxina, Cloridrato de Tiamina, Fosfato Sódico de Riboflavina, Nicotinamida, Pantotenato de Calcio",Complexo B Puro,Complexo B 12 XPE,EMS S/A,"{""ean"":""7896004772318"",""dose"":""3mg/ml + 1mg/ml + 1mg/ml + 2,5mg/ml + 1,5mcg Xarope"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1023513410011"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cianocobalamina"",""Cloridrato de Piridoxina"",""Cloridrato de Tiamina"",""Fosfato Sódico de Riboflavina"",""Nicotinamida"",""Pantotenato de Calcio""],""legado"":{""produto_id"":246,""apresentacao_id"":303,""nome_normalizado"":""complexo b 12 xpe"",""tipo"":""medicamento""}}"
Aciclovir 400mg 30 Comprimidos,7896004775043,Aciclovir,Antivirais Oftalmológicos,Aciclovir,Pharlab Indústria Farmacêutica S.a.,"{""ean"":""7896004775043"",""dose"":""400mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1023513220059"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Aciclovir""],""legado"":{""produto_id"":703,""apresentacao_id"":1061,""nome_normalizado"":""aciclovir"",""tipo"":""medicamento""}}"
Allovita 50mg/ml Solução 50 ml + Extensor - 2 Frascos Spray de Plástico Opaco,7896004778334,Minoxidil,Outras Preparações Dermatologicas,Allovita,Legrand Pharma Indústria Farmacêutica Ltda,"{""ean"":""7896004778334"",""dose"":""50mg/ml Solução 50 ml + Extensor - 2 Frascos Spray de Plástico Opaco"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Capilar"",""quantidade"":null,""volume"":null,""registro_ms"":""1677306290032"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Minoxidil""],""legado"":{""produto_id"":1089,""apresentacao_id"":1380,""nome_normalizado"":""allovita"",""tipo"":""medicamento""}}"
Allovita 50mg/ml Solução 50 ml + Extensor - 3 Frascos Spray de Plástico Opaco,7896004778341,Minoxidil,Outras Preparações Dermatologicas,Allovita,Legrand Pharma Indústria Farmacêutica Ltda,"{""ean"":""7896004778341"",""dose"":""50mg/ml Solução 50 ml + Extensor - 3 Frascos Spray de Plástico Opaco"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Capilar"",""quantidade"":null,""volume"":null,""registro_ms"":""1677306290040"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Minoxidil""],""legado"":{""produto_id"":1089,""apresentacao_id"":1381,""nome_normalizado"":""allovita"",""tipo"":""medicamento""}}"
Ácido Ursodesoxicólico 150mg 30 Comprimidos,7896004780184,Ácido Ursodesoxicólico,Terapia DOS Cálculos Biliares,Ácido Ursodesoxicólico,EMS S/A,"{""ean"":""7896004780184"",""dose"":""150mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1023513840081"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ácido Ursodesoxicólico""],""legado"":{""produto_id"":862,""apresentacao_id"":1078,""nome_normalizado"":""acido ursodesoxicolico"",""tipo"":""medicamento""}}"
Ácido Ursodesoxicólico 300mg 30 Comprimidos,7896004780191,Ácido Ursodesoxicólico,Terapia DOS Cálculos Biliares,Ácido Ursodesoxicólico,EMS S/A,"{""ean"":""7896004780191"",""dose"":""300mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1023513840146"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ácido Ursodesoxicólico""],""legado"":{""produto_id"":862,""apresentacao_id"":1079,""nome_normalizado"":""acido ursodesoxicolico"",""tipo"":""medicamento""}}"
Benevran 50mg 20 Comprimidos Revestidos,7896004800400,Diclofenaco de Potássio,Antirreumáticos NÃO Esteroidais Puros,Benevran,Legrand Pharma Indústria Farmacêutica Ltda,"{""ean"":""7896004800400"",""dose"":""50mg 20 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1677306160023"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Diclofenaco de Potássio""],""legado"":{""produto_id"":449,""apresentacao_id"":563,""nome_normalizado"":""benevran"",""tipo"":""medicamento""}}"
Cystex 15mg + 250mg + 20mg + 15mg 24 Comprimidos Revestidos,7896004801216,"Atropa Belladonna l., Cloreto de Metiltionínio, Cloridrato de Acriflavina, Metenamina",Outros Anti-sépticos Urinários,Cystex,EMS S/A,"{""ean"":""7896004801216"",""dose"":""15mg + 250mg + 20mg + 15mg 24 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""24"",""volume"":null,""registro_ms"":""1023502830020"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Atropa Belladonna l."",""Cloreto de Metiltionínio"",""Cloridrato de Acriflavina"",""Metenamina""],""legado"":{""produto_id"":303,""apresentacao_id"":369,""nome_normalizado"":""cystex"",""tipo"":""medicamento""}}"
"Emistin (1,0 + 0,5)mg 20 Comprimidos",7896004801902,"Acetato de Dexametasona, Dexametasona, Fumarato de Clemastina",Outras Associações de Corticosteróides,Emistin,EMS S/A,"{""ean"":""7896004801902"",""dose"":""(1,0 + 0,5)mg 20 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1023500860089"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acetato de Dexametasona"",""Dexametasona"",""Fumarato de Clemastina""],""legado"":{""produto_id"":306,""apresentacao_id"":373,""nome_normalizado"":""emistin"",""tipo"":""medicamento""}}"
"Gelmax (35,6 + 37 + 48,4)mg/ml Suspensão + Copo Dosador  Hortela",7896004802473,"Carbonato de Cálcio, Hidróxido de Alumínio, Hidróxido de Magnésio",Antiácidos Puros,Gelmax,EMS S/A,"{""ean"":""7896004802473"",""dose"":""(35,6 + 37 + 48,4)mg/ml Suspensão + Copo Dosador  Hortela"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1023501110296"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Carbonato de Cálcio"",""Hidróxido de Alumínio"",""Hidróxido de Magnésio""],""legado"":{""produto_id"":83,""apresentacao_id"":95,""nome_normalizado"":""gelmax"",""tipo"":""medicamento""}}"
"Naridrin 1,0mg/ml + 0,2mg/ml + 5mg/ml Solução",7896004803456,"Cloridrato de Nafazolina, Dexpantenol, Maleato de Mepiramina",Outras Preparações Tópicas Nasais,Naridrin,EMS S/A,"{""ean"":""7896004803456"",""dose"":""1,0mg/ml + 0,2mg/ml + 5mg/ml Solução"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Nasal"",""quantidade"":null,""volume"":null,""registro_ms"":""1023501450011"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Nafazolina"",""Dexpantenol"",""Maleato de Mepiramina""],""legado"":{""produto_id"":174,""apresentacao_id"":285,""nome_normalizado"":""naridrin"",""tipo"":""medicamento""}}"
"Naridrin 0,5mg/ml + 0,2mg/ml + 5mg/ml Solução",7896004803463,"Cloridrato de Nafazolina, Dexpantenol, Maleato de Mepiramina",Outras Preparações Tópicas Nasais,Naridrin,EMS S/A,"{""ean"":""7896004803463"",""dose"":""0,5mg/ml + 0,2mg/ml + 5mg/ml Solução"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Nasal"",""quantidade"":null,""volume"":null,""registro_ms"":""1023501450016"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Nafazolina"",""Dexpantenol"",""Maleato de Mepiramina""],""legado"":{""produto_id"":174,""apresentacao_id"":208,""nome_normalizado"":""naridrin"",""tipo"":""medicamento""}}"
Bismu-jet 25mg/ml + 25mg/ml + 15mg/ml Suspensão 20 ml,7896004810140,Cloridrato de Procaína,Preparações Para Garganta,Bismu-jet,Legrand Pharma Indústria Farmacêutica Ltda,"{""ean"":""7896004810140"",""dose"":""25mg/ml + 25mg/ml + 15mg/ml Suspensão 20 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1677303440017"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Procaína""],""legado"":{""produto_id"":170,""apresentacao_id"":204,""nome_normalizado"":""bismu jet"",""tipo"":""medicamento""}}"
"Colírio Legrand (0,30 + 0,15)mg/ml Solução",7896004810188,"Cloridrato de Nafazolina, Sulfato de Zinco","Descongestionantes Oftalmológicos, Simpaticomiméticos",Colírio Legrand,Legrand Pharma Indústria Farmacêutica Ltda,"{""ean"":""7896004810188"",""dose"":""(0,30 + 0,15)mg/ml Solução"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oftálmica"",""quantidade"":null,""volume"":null,""registro_ms"":""1677302720016"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Nafazolina"",""Sulfato de Zinco""],""legado"":{""produto_id"":359,""apresentacao_id"":441,""nome_normalizado"":""colirio legrand"",""tipo"":""medicamento""}}"
Uroctrin 80mg + 400mg + 50mg 20 Comprimidos Revestidos,7896004810638,"Cloridrato de Fenazopiridina, Sulfametoxazol, Trimetoprima",Antibióticos Urinários,Uroctrin,Legrand Pharma Indústria Farmacêutica Ltda,"{""ean"":""7896004810638"",""dose"":""80mg + 400mg + 50mg 20 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1677302120019"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Fenazopiridina"",""Sulfametoxazol"",""Trimetoprima""],""legado"":{""produto_id"":490,""apresentacao_id"":614,""nome_normalizado"":""uroctrin"",""tipo"":""medicamento""}}"
"Expec 0,4mg/ml + 20mg/ml + 4mg/ml + 6mg/ml Xarope",7896004812168,"Benzoato de Sódio, Cloridrato de Oxomemazina, Guaifenesina, Iodeto de Potássio",Expectorantes,Expec,Legrand Pharma Indústria Farmacêutica Ltda,"{""ean"":""7896004812168"",""dose"":""0,4mg/ml + 20mg/ml + 4mg/ml + 6mg/ml Xarope"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1677302710010"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Benzoato de Sódio"",""Cloridrato de Oxomemazina"",""Guaifenesina"",""Iodeto de Potássio""],""legado"":{""produto_id"":412,""apresentacao_id"":513,""nome_normalizado"":""expec"",""tipo"":""medicamento""}}"
Gelmax (178 + 185 + 230)mg 24 Comprimidos Mastigáveis   Limao,7896004817460,"Carbonato de Cálcio, Hidróxido de Alumínio, Hidróxido de Magnésio",Antiácidos Puros,Gelmax,EMS S/A,"{""ean"":""7896004817460"",""dose"":""(178 + 185 + 230)mg 24 Comprimidos Mastigáveis   Limao"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS MASTIGÁVEIS"",""via_administracao"":""Oral"",""quantidade"":""24"",""volume"":null,""registro_ms"":""1023501110113"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Carbonato de Cálcio"",""Hidróxido de Alumínio"",""Hidróxido de Magnésio""],""legado"":{""produto_id"":83,""apresentacao_id"":536,""nome_normalizado"":""gelmax"",""tipo"":""medicamento""}}"
"A Saúde da Mulher (0,625ml + 400mg + 0,30ml + 0,013ml)15ml Solução + Copo Dosador",7896004817477,"Extrato Fluido de Casca de Laranja Amarga, Extrato Fluido de Passiflora Alata, Salicilato de Sódio, Tintura Agoniada Pluméria",Antiespasmódicos Ginecológicos,A Saúde da Mulher,EMS S/A,"{""ean"":""7896004817477"",""dose"":""(0,625ml + 400mg + 0,30ml + 0,013ml)15ml Solução + Copo Dosador"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1023510590025"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Extrato Fluido de Casca de Laranja Amarga"",""Extrato Fluido de Passiflora Alata"",""Salicilato de Sódio"",""Tintura Agoniada Pluméria""],""legado"":{""produto_id"":12,""apresentacao_id"":12,""nome_normalizado"":""a saude da mulher"",""tipo"":""medicamento""}}"
"Balsamo Bengue (0,250 + 0,250)g/g Pomada",7896004817569,"Mentol, Salicilato de Metila",Antirreumáticos E Analgésicos Tópicos,Balsamo Bengue,EMS S/A,"{""ean"":""7896004817569"",""dose"":""(0,250 + 0,250)g/g Pomada"",""unidade"":""g"",""forma_farmaceutica"":""POMADA"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1023510670010"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Mentol"",""Salicilato de Metila""],""legado"":{""produto_id"":252,""apresentacao_id"":872,""nome_normalizado"":""balsamo bengue"",""tipo"":""medicamento""}}"
"Balsamo Bengue (0,100 + 0,150)g/g GEL",7896004817576,"Mentol, Salicilato de Metila",Antirreumáticos E Analgésicos Tópicos,Balsamo Bengue,EMS S/A,"{""ean"":""7896004817576"",""dose"":""(0,100 + 0,150)g/g GEL"",""unidade"":""g"",""forma_farmaceutica"":""GEL"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1023510670037"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Mentol"",""Salicilato de Metila""],""legado"":{""produto_id"":252,""apresentacao_id"":309,""nome_normalizado"":""balsamo bengue"",""tipo"":""medicamento""}}"
Carverol 250mg 20 Comprimidos,7896006201014,Carvão Vegetal Ativado,Outras Preparações Para Problemas Estomacais,Carverol,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006201014"",""dose"":""250mg 20 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1049713720016"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Carvão Vegetal Ativado""],""legado"":{""produto_id"":389,""apresentacao_id"":481,""nome_normalizado"":""carverol"",""tipo"":""medicamento""}}"
Climene 2MG 11 Comprimidos Revestidos,7896006201564,"Acetato de Ciproterona, Valerato de Estradiol",Associações de Estrógenos E Progestógenos,Climene,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006201564"",""dose"":""2MG 11 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""11"",""volume"":null,""registro_ms"":""1049714940011"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acetato de Ciproterona"",""Valerato de Estradiol""],""legado"":{""produto_id"":274,""apresentacao_id"":336,""nome_normalizado"":""climene"",""tipo"":""medicamento""}}"
"Microvlar (0,15 + 0,03)mg 21 Comprimidos Revestidos",7896006201618,"Etinilestradiol, Levonorgestrel",Hormônios Contraceptivos Monofásicos COM Estrogênios <50mcg,Microvlar,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006201618"",""dose"":""(0,15 + 0,03)mg 21 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""21"",""volume"":null,""registro_ms"":""1049714930014"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Etinilestradiol"",""Levonorgestrel""],""legado"":{""produto_id"":102,""apresentacao_id"":120,""nome_normalizado"":""microvlar"",""tipo"":""medicamento""}}"
"Neovlar (0,25 + 0,05)mg 21 Comprimidos Revestidos",7896006201687,"Etinilestradiol, Levonorgestrel",Hormônios Contraceptivos Monofásicos COM Estrogênios >=50mcg,Neovlar,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006201687"",""dose"":""(0,25 + 0,05)mg 21 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""21"",""volume"":null,""registro_ms"":""1049714980011"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Etinilestradiol"",""Levonorgestrel""],""legado"":{""produto_id"":108,""apresentacao_id"":128,""nome_normalizado"":""neovlar"",""tipo"":""medicamento""}}"
Primolut-nor 10mg 30 Comprimidos,7896006201717,Acetato de Noretisterona,"Progestógenos Excluindo G3a, G3F",Primolut-nor,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006201717"",""dose"":""10mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1049715000010"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acetato de Noretisterona""],""legado"":{""produto_id"":492,""apresentacao_id"":616,""nome_normalizado"":""primolut nor"",""tipo"":""medicamento""}}"
"Primosiston (2 + 0,01)mg 30 Comprimidos",7896006201731,"Acetato de Noretisterona, Etinilestradiol",Associações de Estrógenos E Progestógenos,Primosiston,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006201731"",""dose"":""(2 + 0,01)mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1049714950023"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acetato de Noretisterona"",""Etinilestradiol""],""legado"":{""produto_id"":180,""apresentacao_id"":214,""nome_normalizado"":""primosiston"",""tipo"":""medicamento""}}"
