descricaoProduto,ean,principioAtivo,classificacao,nomeSocial,fabricante,detalhes
"Alprazolam 0,5mg 30 Comprimidos",7896422517003,Alprazolam,Tranquilizantes,Alprazolam,Multilab Industria E Comercio de Produtos Farmaceuticos Ltda,"{""ean"":""7896422517003"",""dose"":""0,5mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832600590091"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Alprazolam""],""legado"":{""produto_id"":1100,""apresentacao_id"":1408,""nome_normalizado"":""alprazolam"",""tipo"":""medicamento""}}"
Alprazolam 1MG 30 Comprimidos,7896422517034,Alprazolam,Tranquilizantes,Alprazolam,Multilab Industria E Comercio de Produtos Farmaceuticos Ltda,"{""ean"":""7896422517034"",""dose"":""1MG 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832600590131"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Alprazolam""],""legado"":{""produto_id"":1100,""apresentacao_id"":1410,""nome_normalizado"":""alprazolam"",""tipo"":""medicamento""}}"
Alprazolam 2MG 30 Comprimidos,7896422517041,Alprazolam,Tranquilizantes,Alprazolam,Multilab Industria E Comercio de Produtos Farmaceuticos Ltda,"{""ean"":""7896422517041"",""dose"":""2MG 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832600590148"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Alprazolam""],""legado"":{""produto_id"":1100,""apresentacao_id"":1411,""nome_normalizado"":""alprazolam"",""tipo"":""medicamento""}}"
Ácido Mefenâmico 500mg 24 Comprimidos,7896422517195,Ácido Mefenâmico,Antirreumáticos NÃO Esteroidais Puros,Ácido Mefenâmico,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7896422517195"",""dose"":""500mg 24 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""24"",""volume"":null,""registro_ms"":""1832601000034"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ácido Mefenâmico""],""legado"":{""produto_id"":860,""apresentacao_id"":1076,""nome_normalizado"":""acido mefenamico"",""tipo"":""medicamento""}}"
Albendazol 400mg 3 Comprimidos Mastigáveis,7896422524629,Albendazol,Anti-helmínticos Exceto Esquistossomicidas (p1c),Albendazol,EMS S/A,"{""ean"":""7896422524629"",""dose"":""400mg 3 Comprimidos Mastigáveis"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS MASTIGÁVEIS"",""via_administracao"":""Oral"",""quantidade"":""3"",""volume"":null,""registro_ms"":""1832601930041"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Albendazol""],""legado"":{""produto_id"":1033,""apresentacao_id"":1289,""nome_normalizado"":""albendazol"",""tipo"":""medicamento""}}"
Cloridrato de Amitriptilina 25mg 30 Comprimidos Revestidos,7896422524636,Cloridrato de Amitriptilina,Antidepressivos Todos os Outros,Cloridrato de Amitriptilina,EMS S/A,"{""ean"":""7896422524636"",""dose"":""25mg 30 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832601330034"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Amitriptilina""],""legado"":{""produto_id"":1137,""apresentacao_id"":1463,""nome_normalizado"":""cloridrato de amitriptilina"",""tipo"":""medicamento""}}"
"Deltalab 0,2mg/ml Emulsão 100 ml",7896472500253,Deltametrina,Ectoparasiticidas Incluindo Escabicidas,Deltalab,Multilab Industria E Comercio de Produtos Farmaceuticos Ltda,"{""ean"":""7896472500253"",""dose"":""0,2mg/ml Emulsão 100 ml"",""unidade"":""mg"",""forma_farmaceutica"":""EMULSÃO"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1181900060016"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Deltametrina""],""legado"":{""produto_id"":517,""apresentacao_id"":650,""nome_normalizado"":""deltalab"",""tipo"":""medicamento""}}"
Aglitil 30mg 30 Comprimidos,7896472522354,Cloridrato de Pioglitazona,Antidiabéticos Glitazonas Puros,Aglitil,Multilab Industria E Comercio de Produtos Farmaceuticos Ltda,"{""ean"":""7896472522354"",""dose"":""30mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1181902970117"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Pioglitazona""],""legado"":{""produto_id"":970,""apresentacao_id"":1218,""nome_normalizado"":""aglitil"",""tipo"":""medicamento""}}"
Aglitil 15mg 30 Comprimidos,7896472522392,Cloridrato de Pioglitazona,Antidiabéticos Glitazonas Puros,Aglitil,Multilab Industria E Comercio de Produtos Farmaceuticos Ltda,"{""ean"":""7896472522392"",""dose"":""15mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1181902970044"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Pioglitazona""],""legado"":{""produto_id"":970,""apresentacao_id"":1217,""nome_normalizado"":""aglitil"",""tipo"":""medicamento""}}"
Aglitil 30mg 60 Comprimidos,7896472522408,Cloridrato de Pioglitazona,Antidiabéticos Glitazonas Puros,Aglitil,Multilab Industria E Comercio de Produtos Farmaceuticos Ltda,"{""ean"":""7896472522408"",""dose"":""30mg 60 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""60"",""volume"":null,""registro_ms"":""1181902970125"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Pioglitazona""],""legado"":{""produto_id"":970,""apresentacao_id"":1219,""nome_normalizado"":""aglitil"",""tipo"":""medicamento""}}"
